time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-29 8:20:44.8780,-0.126,-0.268,-0.985,0.15,-0.44,0.6,-0.25,-0.43,-0.07
2022-12-29 8:20:44.8870,-0.14,-0.256,-0.944,0.24,-0.49,0.13,-0.12,-0.39,-0.13
2022-12-29 8:20:44.8970,-0.154,-0.25,-0.921,0.31,-0.62,-0.18,0.04,-0.34,-0.19
2022-12-29 8:20:44.9070,-0.153,-0.256,-0.905,0.43,-0.57,-0.28,0.16,-0.28,-0.28
2022-12-29 8:20:44.9170,-0.152,-0.271,-0.895,0.29,-0.53,-0.48,0.22,-0.19,-0.34
2022-12-29 8:20:44.9270,-0.16,-0.295,-0.901,0.44,-0.3,-0.41,0.23,-0.14,-0.34
2022-12-29 8:20:44.9370,-0.146,-0.304,-0.912,0.33,-0.2,-0.33,0.17,-0.13,-0.33
2022-12-29 8:20:44.9470,-0.136,-0.319,-0.899,0.21,-0.09,-0.32,0.1,-0.09,-0.29
2022-12-29 8:20:44.9570,-0.134,-0.331,-0.878,0.18,0.04,-0.54,0.06,-0.03,-0.24
2022-12-29 8:20:44.9670,-0.125,-0.34,-0.857,0.13,0.13,-0.74,0.03,0.05,-0.17
2022-12-29 8:20:44.9770,-0.115,-0.353,-0.832,0.04,0.23,-0.97,0.04,0.14,-0.1
2022-12-29 8:20:44.9870,-0.103,-0.37,-0.813,-0.04,0.38,-1.2,0.07,0.25,-0.03
2022-12-29 8:20:44.9970,-0.085,-0.379,-0.828,-0.16,0.51,-1.2,0.1,0.34,0.04
2022-12-29 8:20:45.0070,-0.065,-0.381,-0.868,-0.33,0.53,-0.87,0.1,0.39,0.1
2022-12-29 8:20:45.0170,-0.048,-0.383,-0.91,-0.49,0.54,-0.44,0.08,0.39,0.15
2022-12-29 8:20:45.0270,-0.038,-0.38,-0.943,-0.58,0.54,-0.09,0.02,0.36,0.18
2022-12-29 8:20:45.0370,-0.037,-0.375,-0.974,-0.6,0.5,0.21,-0.07,0.3,0.2
2022-12-29 8:20:45.0470,-0.045,-0.374,-0.999,-0.54,0.48,0.48,-0.17,0.22,0.23
2022-12-29 8:20:45.0570,-0.061,-0.371,-1.015,-0.39,0.5,0.66,-0.26,0.13,0.27
2022-12-29 8:20:45.0670,-0.066,-0.355,-1.019,-0.3,0.43,0.75,-0.3,0.03,0.3
